School,Municipality,Board,School Level,Students,Staff,Total Cases,Status
Ã‰cole Ã©lÃ©mentaire catholique Sainte Marie,Ottawa,CSDC du Centre-Est de l'Ontario,Elementary,All resolved,All resolved,All resolved,Resolved
Ã‰cole Ã©lÃ©mentaire catholique d'enseignement personnalisÃ© La Source,Ottawa,CSDC du Centre-Est de l'Ontario,Elementary,All resolved,All resolved,All resolved,Resolved
Ã‰cole Ã©lÃ©mentaire publique Charlotte-Lemieux,Ottawa,Conseil des Ã©coles publiques de l'Est de l'Ontario,Elementary,All resolved,All resolved,All resolved,Resolved
Ã‰cole Ã©lÃ©mentaire publique De la Salle,Ottawa,Conseil des Ã©coles publiques de l'Est de l'Ontario,Elementary,All resolved,All resolved,All resolved,Resolved
Ã‰cole Ã©lÃ©mentaire publique Des Sentiers,Ottawa,Conseil des Ã©coles publiques de l'Est de l'Ontario,Elementary,All resolved,All resolved,All resolved,Resolved
Ã‰cole Ã©lÃ©mentaire publique Francojeunesse,Ottawa,Conseil des Ã©coles publiques de l'Est de l'Ontario,Elementary,All resolved,All resolved,All resolved,Resolved
Ã‰cole Ã©lÃ©mentaire publique Gabrielle-Roy,Ottawa,Conseil des Ã©coles publiques de l'Est de l'Ontario,Elementary,All resolved,All resolved,All resolved,Resolved
Ã‰cole Ã©lÃ©mentaire publique Julie-Payette,Ottawa,Conseil des Ã©coles publiques de l'Est de l'Ontario,Elementary,All resolved,All resolved,All resolved,Resolved
Ã‰cole Ã©lÃ©mentaire publique Le PrÃ©lude,Ottawa,Conseil des Ã©coles publiques de l'Est de l'Ontario,Elementary,All resolved,All resolved,All resolved,Resolved
Ã‰cole Ã©lÃ©mentaire publique Louise-Arbour,Ottawa,Conseil des Ã©coles publiques de l'Est de l'Ontario,Elementary,All resolved,All resolved,All resolved,Resolved
Ã‰cole Ã©lÃ©mentaire publique Maurice-Lapointe,Ottawa,Conseil des Ã©coles publiques de l'Est de l'Ontario,Elementary,All resolved,All resolved,All resolved,Resolved
Ã‰cole Ã©lÃ©mentaire publique Mauril-BÃ©langer,Ottawa,Conseil des Ã©coles publiques de l'Est de l'Ontario,Elementary,All resolved,All resolved,All resolved,Resolved
Ã‰cole Ã©lÃ©mentaire publique Omer-Deslauriers,Ottawa,Conseil des Ã©coles publiques de l'Est de l'Ontario,Elementary,All resolved,All resolved,All resolved,Resolved
Ã‰cole Ã©lÃ©mentaire publique Ottawa Ouest,Ottawa,Conseil des Ã©coles publiques de l'Est de l'Ontario,Elementary,All resolved,All resolved,All resolved,Resolved
Ã‰cole Ã©lÃ©mentaire publique SÃ©raphin-Marion,Ottawa,Conseil des Ã©coles publiques de l'Est de l'Ontario,Elementary,All resolved,All resolved,All resolved,Resolved
Ã‰cole Ã©lÃ©mentaire publique Trille des Bois,Ottawa,Conseil des Ã©coles publiques de l'Est de l'Ontario,Elementary,All resolved,All resolved,All resolved,Resolved
Ã‰ducation permanente langues secondes soir,Ottawa,CSDC du Centre-Est de l'Ontario,Secondary,All resolved,All resolved,All resolved,Resolved
Hillcrest Elementary School,Owen Sound,Bluewater DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Glynn A Green Public School,Pelham,DSB Niagara,Elementary,All resolved,All resolved,All resolved,Resolved
Bishop Smith Catholic High School,Pembroke,Renfrew County CDSB,Secondary,All resolved,All resolved,All resolved,Resolved
Board Site,Pembroke,Renfrew County DSB,Board Site,All resolved,All resolved,All resolved,Resolved
Champlain Discovery Public School,Pembroke,Renfrew County DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Fellowes High School,Pembroke,Renfrew County DSB,Secondary,All resolved,All resolved,All resolved,Resolved
Rockwood Public School,Pembroke,Renfrew County DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Ã‰cole Ã©lÃ©mentaire catholique Jeanne-Lajoie,Pembroke,CSDC du Centre-Est de l'Ontario,Elementary,All resolved,All resolved,All resolved,Resolved
Perth Intermediate School,Perth,Upper Canada DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Perth and District Collegiate Institute,Perth,Upper Canada DSB,Secondary,All resolved,All resolved,All resolved,Resolved
St John Elementary School,Perth,CDSB of Eastern Ontario,Elementary,All resolved,All resolved,All resolved,Resolved
The Stewart Public School,Perth,Upper Canada DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Milverton Public School,Perth East,Avon Maitland DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Mornington Central Public School,Perth East,Avon Maitland DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Herman Street Public School,Petawawa,Renfrew County DSB,Elementary,All resolved,All resolved,All resolved,Resolved
St Francis of Assisi Catholic School,Petawawa,Renfrew County CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
Valour JK to 12 School - Elementary School,Petawawa,Renfrew County DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Valour JK to 12 School - Secondary School,Petawawa,Renfrew County DSB,Secondary,All resolved,All resolved,All resolved,Resolved
Adam Scott Collegiate Vocational Institute,Peterborough,Kawartha Pine Ridge DSB,Secondary,All resolved,All resolved,All resolved,Resolved
Adam Scott Intermediate School,Peterborough,Kawartha Pine Ridge DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Highland Heights Public School,Peterborough,Kawartha Pine Ridge DSB,Elementary,All resolved,All resolved,All resolved,Resolved
James Strath Public School,Peterborough,Kawartha Pine Ridge DSB,Elementary,All resolved,All resolved,All resolved,Resolved
St. Catherine Catholic Elementary School,Peterborough,Peterborough Victoria Northumberland and Clarington CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
St. John Catholic Elementary School,Peterborough,Peterborough Victoria Northumberland and Clarington CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
Fairport Beach Public School,Pickering,Durham DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Highbush Public School,Pickering,Durham DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Sir John A Macdonald Public School,Pickering,Durham DSB,Elementary,All resolved,All resolved,All resolved,Resolved
St Elizabeth Seton Catholic School,Pickering,Durham CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
St Isaac Jogues Catholic School,Pickering,Durham CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
St Mary Catholic Secondary School,Pickering,Durham CDSB,Secondary,All resolved,All resolved,All resolved,Resolved
St Monica Catholic School,Pickering,Durham CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
St Wilfrid Catholic School,Pickering,Durham CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
Valley Farm Public School,Pickering,Durham DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Valley View Public School,Pickering,Durham DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Crolancia Elementary School,Pickle Lake,Keewatin-Patricia DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Holy Rosary Catholic School,Plympton-Wyoming,St Clair CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
Lakeshore Catholic High School,Port Colborne,Niagara CDSB,Secondary,All resolved,All resolved,All resolved,Resolved
Port Colborne High School,Port Colborne,DSB Niagara,Secondary,All resolved,All resolved,All resolved,Resolved
St Therese Catholic Elementary School,Port Colborne,Niagara CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
Steele Street Public School,Port Colborne,DSB Niagara,Elementary,All resolved,All resolved,All resolved,Resolved
Trenton High School,Quinte West,Hastings & Prince Edward DSB,Secondary,All resolved,All resolved,All resolved,Resolved
Mine Centre Public School,Rainy River,Rainy River DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Rainy River High School,Rainy River,Rainy River DSB,Secondary,All resolved,All resolved,All resolved,Resolved
Golden Learning Centre,Red Lake,Keewatin-Patricia DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Nipigon Red Rock District High School,Red Rock,Superior-Greenstone DSB,Secondary,All resolved,All resolved,All resolved,Resolved
Renfrew Collegiate Institute,Renfrew,Renfrew County DSB,Secondary,All resolved,All resolved,All resolved,Resolved
Alexander MacKenzie High School,Richmond Hill,York Region DSB,Secondary,All resolved,All resolved,All resolved,Resolved
Bayview Hill Public School,Richmond Hill,York Region DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Bond Lake Public School,Richmond Hill,York Region DSB,Elementary,All resolved,All resolved,All resolved,Resolved
O M MacKillop Public School,Richmond Hill,York Region DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Our Lady Help of Christians Catholic Elementary School,Richmond Hill,York CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
Our Lady of Hope Catholic Elementary School,Richmond Hill,York CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
Our Lady of the Annunciation Catholic Elementary School,Richmond Hill,York CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
Pleasantville Public School,Richmond Hill,York Region DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Redstone Public School,Richmond Hill,York Region DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Richmond Green Secondary School,Richmond Hill,York Region DSB,Secondary,All resolved,All resolved,All resolved,Resolved
Richmond Hill High School,Richmond Hill,York Region DSB,Secondary,All resolved,All resolved,All resolved,Resolved
Rose Doan Public School,Richmond Hill,York Region DSB,Elementary,All resolved,All resolved,All resolved,Resolved
St Anne Catholic Elementary School,Richmond Hill,York CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
St Charles Garnier Catholic Elementary School,Richmond Hill,York CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
St Marguerite d'Youville Catholic Elementary School,Richmond Hill,York CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
Trillium Woods Public School,Richmond Hill,York Region DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Lombardy Public School,Rideau Lakes,Upper Canada DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Rideau Vista Public School,Rideau Lakes,Upper Canada DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Ã‰cole intermÃ©diaire catholique - Pavillon Embrun,Russell,CSDC de l'Est ontarien,Elementary,All resolved,All resolved,All resolved,Resolved
Ã‰cole secondaire catholique Embrun,Russell,CSDC de l'Est ontarien,Secondary,All resolved,All resolved,All resolved,Resolved
Ã‰cole Ã©lÃ©mentaire catholique Embrun - Pav. Saint-Jean/Pav. La CroisÃ©e,Russell,CSDC de l'Est ontarien,Elementary,All resolved,All resolved,All resolved,Resolved
Ã‰cole Ã©lÃ©mentaire publique De la RiviÃ¨re Castor,Russell,Conseil des Ã©coles publiques de l'Est de l'Ontario,Elementary,All resolved,All resolved,All resolved,Resolved
Alexander Mackenzie Secondary School,Sarnia,Lambton Kent DSB,Secondary,All resolved,All resolved,All resolved,Resolved
Bright's Grove Public School,Sarnia,Lambton Kent DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Cathcart Boulevard Public School,Sarnia,Lambton Kent DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Confederation Central School,Sarnia,Lambton Kent DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Errol Road Public School,Sarnia,Lambton Kent DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Gregory A Hogan Catholic School,Sarnia,St Clair CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
Hanna Memorial Public School,Sarnia,Lambton Kent DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Holy Trinity Catholic School,Sarnia,St Clair CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
King George VI Public School,Sarnia,Lambton Kent DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Lansdowne Public School,Sarnia,Lambton Kent DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Queen Elizabeth II School,Sarnia,Lambton Kent DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Sacred Heart Catholic School,Sarnia,St Clair CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
Ã‰cole secondaire catholique Ã‰cole secondaire Saint-FranÃ§ois-Xavier,Sarnia,Conseil scolaire catholique Providence,Secondary,All resolved,All resolved,All resolved,Resolved
Ã‰cole Ã©lÃ©mentaire catholique Saint-Thomas-d'Aquin,Sarnia,Conseil scolaire catholique Providence,Elementary,All resolved,All resolved,All resolved,Resolved
Saugeen District Secondary School,Saugeen Shores,Bluewater DSB,Secondary,All resolved,All resolved,All resolved,Resolved
Francis H Clergue Public School,Sault Ste. Marie,Algoma DSB,Elementary,All resolved,All resolved,All resolved,Resolved
R M Moore Public School,Sault Ste. Marie,Algoma DSB,Elementary,All resolved,All resolved,All resolved,Resolved
R H Cornish Public School,Scugog,Durham DSB,Elementary,All resolved,All resolved,All resolved,Resolved
St. Martin Catholic Elementary School,Selwyn,Peterborough Victoria Northumberland and Clarington CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
Severn Shores Public School,Severn,Simcoe County DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Centre Dufferin District High School,Shelburne,Upper Grand DSB,Secondary,All resolved,All resolved,All resolved,Resolved
Glenbrook Elementary  School,Shelburne,Upper Grand DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Sacred Heart Separate School,Sioux Lookout,Northwest CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
Sioux Mountain Public School,Sioux Lookout,Keewatin-Patricia DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Sioux North District High School,Sioux Lookout,Keewatin-Patricia DSB,Secondary,All resolved,All resolved,All resolved,Resolved
Chimo Elementary School,Smiths Falls,Upper Canada DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Smiths Falls District Collegiate Institute,Smiths Falls,Upper Canada DSB,Secondary,All resolved,All resolved,All resolved,Resolved
St Francis de Sales Separate School,Smiths Falls,CDSB of Eastern Ontario,Elementary,All resolved,All resolved,All resolved,Resolved
Sacred Heart School,South Bruce,Bruce-Grey CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
Harrowsmith Public School,South Frontenac,Limestone DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Iona Academy,South Glengarry,CDSB of Eastern Ontario,Elementary,All resolved,All resolved,All resolved,Resolved
Our Lady of Good Counsel Separate School,South Stormont,CDSB of Eastern Ontario,Elementary,All resolved,All resolved,All resolved,Resolved
Rothwell-Osnabruck Elementary School,South Stormont,Upper Canada DSB,Elementary,All resolved,All resolved,All resolved,Resolved
St Andrew's Separate School,South Stormont,CDSB of Eastern Ontario,Elementary,All resolved,All resolved,All resolved,Resolved
Ã‰cole Ã©lÃ©mentaire catholique Sainte-Lucie,South Stormont,CSDC de l'Est ontarien,Elementary,All resolved,All resolved,All resolved,Resolved
Egremont Community School,Southgate,Bluewater DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Highpoint Community Elementary School,Southgate,Bluewater DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Mosa Central Public School,Southwest Middlesex,Thames Valley DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Board Site,Springwater,Simcoe County DSB,Board Site,All resolved,All resolved,All resolved,Resolved
Continuing Education Day,Springwater,Simcoe County DSB,Secondary,All resolved,All resolved,All resolved,Resolved
Our Lady of Lourdes Separate School,Springwater,Simcoe Muskoka CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
Dalewood Public School,St. Catharines,DSB Niagara,Elementary,All resolved,All resolved,All resolved,Resolved
E I McCulley Public School,St. Catharines,DSB Niagara,Elementary,All resolved,All resolved,All resolved,Resolved
Eden Secondary School,St. Catharines,DSB Niagara,Secondary,All resolved,All resolved,All resolved,Resolved
Governor Simcoe Secondary School,St. Catharines,DSB Niagara,Secondary,All resolved,All resolved,All resolved,Resolved
Harriet Tubman Public School,St. Catharines,DSB Niagara,Elementary,All resolved,All resolved,All resolved,Resolved
Holy Cross Catholic Secondary School,St. Catharines,Niagara CDSB,Secondary,All resolved,All resolved,All resolved,Resolved
Jeanne Sauve Public School,St. Catharines,DSB Niagara,Elementary,All resolved,All resolved,All resolved,Resolved
Lockview Public School,St. Catharines,DSB Niagara,Elementary,All resolved,All resolved,All resolved,Resolved
Port Weller Public School,St. Catharines,DSB Niagara,Elementary,All resolved,All resolved,All resolved,Resolved
Sir Winston Churchill Secondary School,St. Catharines,DSB Niagara,Secondary,All resolved,All resolved,All resolved,Resolved
St Denis Catholic Elementary School,St. Catharines,Niagara CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
St James Catholic Elementary School,St. Catharines,Niagara CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
St Theresa Catholic Elementary School,St. Catharines,Niagara CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
St. Alfred Catholic Elementary School,St. Catharines,Niagara CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
Westdale Public School,St. Catharines,DSB Niagara,Elementary,All resolved,All resolved,All resolved,Resolved
William Hamilton Merritt Elementary School,St. Catharines,DSB Niagara,Elementary,All resolved,All resolved,All resolved,Resolved
Ã‰cole Ã©lÃ©mentaire L'HÃ©ritage,St. Catharines,CS Viamonde,Elementary,All resolved,All resolved,All resolved,Resolved
Ã‰Ã‰C ImmaculÃ©e-Conception,St. Catharines,CS catholique MonAvenir,Elementary,All resolved,All resolved,All resolved,Resolved
Bridgeview Public School,St. Clair,Lambton Kent DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Colonel Cameron Public School,St. Clair,Lambton Kent DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Riverview Central School,St. Clair,Lambton Kent DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Sir John Moore Community School,St. Clair,Lambton Kent DSB,Elementary,All resolved,All resolved,All resolved,Resolved
St Joseph Catholic School,St. Clair,St Clair CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
Elgin Court Public School,St. Thomas,Thames Valley DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Forest Park Public School,St. Thomas,Thames Valley DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Mitchell Hepburn Public School,St. Thomas,Thames Valley DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Parkside Collegiate Institute,St. Thomas,Thames Valley DSB,Secondary,All resolved,All resolved,All resolved,Resolved
St John Adult Day Learning Centre,St.Catherines,Niagara CDSB,Secondary,All resolved,All resolved,All resolved,Resolved
Stirling Public School,Stirling-Rawdon,Hastings & Prince Edward DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Anne Hathaway Public School,Stratford,Avon Maitland DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Avon Public School,Stratford,Avon Maitland DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Romeo Public School,Stratford,Avon Maitland DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Shakespeare Public School,Stratford,Avon Maitland DSB,Elementary,All resolved,All resolved,All resolved,Resolved
St Ambrose Separate School,Stratford,Huron Perth CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
St Joseph Separate School,Stratford,Huron Perth CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
St Michael Catholic Secondary School,Stratford,Huron Perth CDSB,Secondary,All resolved,All resolved,All resolved,Resolved
Caradoc North School,Strathroy-Caradoc,Thames Valley DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Mary Wright Public School,Strathroy-Caradoc,Thames Valley DSB,Elementary,All resolved,All resolved,All resolved,Resolved
St Albert Adult Learning Centre,Sudbury,Sudbury CDSB,Secondary,All resolved,All resolved,All resolved,Resolved
Tay Shores Public School,Tay,Simcoe County DSB,Elementary,All resolved,All resolved,All resolved,Resolved
St Antoine Daniel Catholic School,Tay Township,Simcoe Muskoka CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
A V Graham Public School,Tecumseh,Greater Essex County DSB,Elementary,All resolved,All resolved,All resolved,Resolved
St Andre French Immersion Catholic Elementary School,Tecumseh,Windsor-Essex CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
Tecumseh Vista Academy - Elementary,Tecumseh,Greater Essex County DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Ã‰cole Ã©lÃ©mentaire catholique Ste-Marguerite-d'Youville,Tecumseh,Conseil scolaire catholique Providence,Elementary,All resolved,All resolved,All resolved,Resolved
Ã‰cole Ã©lÃ©mentaire catholique l'Essor,Tecumseh,Conseil scolaire catholique Providence,Elementary,All resolved,All resolved,All resolved,Resolved
Lord Dorchester Secondary School,Thames Centre,Thames Valley DSB,Secondary,All resolved,All resolved,All resolved,Resolved
Northdale Central Public School,Thames Centre,Thames Valley DSB,Elementary,All resolved,All resolved,All resolved,Resolved
West Nissouri Public School,Thames Centre,Thames Valley DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Ã‰cole Ã©lÃ©mentaire catholique Saint-Viateur,The Nation,CSDC de l'Est ontarien,Elementary,All resolved,All resolved,All resolved,Resolved
Ã‰cole Ã©lÃ©mentaire catholique Saint-Isidore,The Nation Municipality,CSDC de l'Est ontarien,Elementary,All resolved,All resolved,All resolved,Resolved
Richmond Street Public School,Thorold,DSB Niagara,Elementary,All resolved,All resolved,All resolved,Resolved
St Charles Catholic Elementary School,Thorold,Niagara CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
Corpus Christi Catholic Elementary School,Thunder Bay,Thunder Bay CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
Hammarskjold High School,Thunder Bay,Lakehead DSB,Secondary,All resolved,All resolved,All resolved,Resolved
Holy Family Catholic Elementary School,Thunder Bay,Thunder Bay CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
Kingsway Park Public School,Thunder Bay,Lakehead DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Lakehead Adult Education Centre,Thunder Bay,Lakehead DSB,Secondary,All resolved,All resolved,All resolved,Resolved
McKellar Park Central Public School,Thunder Bay,Lakehead DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Ogden Community Public School,Thunder Bay,Lakehead DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Pope John Paul II Elementary School,Thunder Bay,Thunder Bay CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
St Bernard Catholic Elementary School,Thunder Bay,Thunder Bay CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
St Elizabeth Catholic Elementary School,Thunder Bay,Thunder Bay CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
St Francis Catholic Elementary School,Thunder Bay,Thunder Bay CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
St James Public School,Thunder Bay,Lakehead DSB,Elementary,All resolved,All resolved,All resolved,Resolved
St Margaret Catholic Elementary School,Thunder Bay,Thunder Bay CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
St Martin Catholic Elementary School,Thunder Bay,Thunder Bay CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
St Patrick High School,Thunder Bay,Thunder Bay CDSB,Secondary,All resolved,All resolved,All resolved,Resolved
Upsala Public School,Thunder Bay,Keewatin-Patricia DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Westgate Collegiate and Vocational Institute,Thunder Bay,Lakehead DSB,Secondary,All resolved,All resolved,All resolved,Resolved
Woodcrest Public School,Thunder Bay,Lakehead DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Ã‰cole Gron Morgan Public School,Thunder Bay,Lakehead DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Annandale Public School,Tillsonburg,Thames Valley DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Glendale High School,Tillsonburg,Thames Valley DSB,Secondary,All resolved,All resolved,All resolved,Resolved
South Ridge Public School,Tillsonburg,Thames Valley DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Westfield Public School,Tillsonburg,Thames Valley DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Roland Michener Secondary School,Timmins,DSB Ontario North East,Secondary,All resolved,All resolved,All resolved,Resolved
Ã‰cole catholique Louis-RhÃ©aume,Timmins,CSDC des Grandes RiviÃ¨res,Elementary,All resolved,All resolved,All resolved,Resolved
Wyevale Central Public School,Tiny,Simcoe County DSB,Elementary,All resolved,All resolved,All resolved,Resolved
A Y Jackson Secondary School,Toronto,Toronto DSB,Secondary,All resolved,All resolved,All resolved,Resolved
AcadÃ©mie Alexandre-Dumas,Toronto,CS Viamonde,Elementary,All resolved,All resolved,All resolved,Resolved
Alexander Muir/Gladstone Ave Junior and Senior Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Allenby Junior Elementary School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Alternative Scarborough Education 1,Toronto,Toronto DSB,Secondary,All resolved,All resolved,All resolved,Resolved
Alvin Curling Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Ancaster Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Annette Street Junior and Senior Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Annunciation Catholic School,Toronto,Toronto CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
Bellmere Junior Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Berner Trail Junior Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Beverley Heights Middle School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Beverley School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Birchmount Park Collegiate Institute,Toronto,Toronto DSB,Secondary,All resolved,All resolved,All resolved,Resolved
Blacksmith Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Blake Street Junior Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Blessed Margherita of Citta Castello Catholic School,Toronto,Toronto CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
Blessed Sacrament Catholic School,Toronto,Toronto CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
Blessed Trinity Catholic School,Toronto,Toronto CDSB,Elementary,All resolved,All resolved,All resolved,Resolved
Bloorview School Authority,Toronto,Bloorview SA,Elementary,All resolved,All resolved,All resolved,Resolved
Blythwood Junior Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Brimwood Boulevard Junior Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Broadlands Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Brookside Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Brookview Middle School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Buchanan Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Burnhamthorpe Collegiate Institute,Toronto,Toronto DSB,Secondary,All resolved,All resolved,All resolved,Resolved
Burrows Hall Junior Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
C D Farquharson Junior Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
CALC Secondary School,Toronto,Toronto DSB,Secondary,All resolved,All resolved,All resolved,Resolved
Calico Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Cameron Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Centennial Road Junior Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Central Etobicoke High School,Toronto,Toronto DSB,Secondary,All resolved,All resolved,All resolved,Resolved
Central Technical School,Toronto,Toronto DSB,Secondary,All resolved,All resolved,All resolved,Resolved
Charles H Best Junior and Middle School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Chartland Junior Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
Cherokee Public School,Toronto,Toronto DSB,Elementary,All resolved,All resolved,All resolved,Resolved
